Date,Close/Last,Volume,Open,High,Low
7/2/2021,$53.54 ,15068260,$53.19 ,$53.62 ,$52.84 
7/1/2021,$53.44 ,15074800,$53.05 ,$53.60 ,$53 
6/30/2021,$53 ,15826640,$52.95 ,$53.07 ,$52.62 
6/29/2021,$52.91 ,10926110,$52.89 ,$53.19 ,$52.77 
6/28/2021,$52.96 ,14008660,$53.16 ,$53.29 ,$52.92 
6/25/2021,$53.06 ,16682660,$52.77 ,$53.20 ,$52.65 
6/24/2021,$52.78 ,13974290,$52.94 ,$53.05 ,$52.61 
6/23/2021,$52.76 ,14749810,$53.27 ,$53.29 ,$52.59 
6/22/2021,$53.26 ,16451240,$53.30 ,$53.36 ,$52.81 
6/21/2021,$53.18 ,17682230,$52.37 ,$53.41 ,$52.29 
6/18/2021,$52.07 ,35758260,$52.81 ,$52.84 ,$51.88 
6/17/2021,$53.13 ,18288400,$53.41 ,$53.55 ,$53.01 
6/16/2021,$53.47 ,15477900,$53.85 ,$53.92 ,$53.13 
6/15/2021,$53.79 ,12542570,$54.23 ,$54.32 ,$53.73 
6/14/2021,$54.17 ,15131360,$54.39 ,$54.53 ,$53.53 
6/11/2021,$54.77 ,17134050,$55.19 ,$55.35 ,$54.54 
6/10/2021,$55.03 ,22183540,$54.43 ,$55.08 ,$54.27 
6/9/2021,$54.02 ,14861230,$54.18 ,$54.42 ,$53.94 
6/8/2021,$54.13 ,15329690,$53.97 ,$54.39 ,$53.89 
6/7/2021,$53.92 ,14899750,$54.32 ,$54.44 ,$53.79 
6/4/2021,$54.07 ,11676700,$53.44 ,$54.17 ,$53.44 
6/3/2021,$53.33 ,17593100,$52.80 ,$53.56 ,$52.62 
6/2/2021,$52.96 ,14529320,$52.65 ,$52.99 ,$52.40 
6/1/2021,$52.62 ,15741980,$52.96 ,$53.32 ,$52.43 
5/28/2021,$52.90 ,14864350,$53.18 ,$53.22 ,$52.84 
5/27/2021,$52.92 ,56216070,$52.93 ,$53.35 ,$52.58 
5/26/2021,$52.91 ,18671190,$53.35 ,$53.61 ,$52.82 
5/25/2021,$53.31 ,20657180,$53.37 ,$53.58 ,$53.14 
5/24/2021,$53.39 ,21128860,$52.96 ,$53.77 ,$52.79 
5/21/2021,$52.43 ,24468370,$52.77 ,$52.93 ,$52.24 
5/20/2021,$52.85 ,48830760,$50.41 ,$52.97 ,$50.10 
5/19/2021,$52.47 ,29187940,$51.88 ,$52.66 ,$51.86 
5/18/2021,$52.93 ,20177200,$52.80 ,$53.34 ,$52.74 
5/17/2021,$52.94 ,15728680,$52.76 ,$53.15 ,$52.68 
5/14/2021,$52.90 ,14789380,$52.93 ,$53.22 ,$52.60 
5/13/2021,$52.49 ,15868660,$52.11 ,$52.81 ,$51.88 
5/12/2021,$51.60 ,22123310,$52.18 ,$52.43 ,$51.47 
5/11/2021,$52.83 ,20220910,$53.10 ,$53.11 ,$52.11 
5/10/2021,$53.16 ,23845560,$53.97 ,$54.14 ,$53.16 
5/7/2021,$53.43 ,24146010,$52.48 ,$53.68 ,$52.22 
5/6/2021,$52.44 ,27106820,$51.07 ,$52.71 ,$50.95 
5/5/2021,$51.13 ,16205350,$50.99 ,$51.25 ,$50.68 
5/4/2021,$50.71 ,18164790,$51.11 ,$51.23 ,$50.30 
5/3/2021,$51.17 ,13465910,$51.21 ,$51.40 ,$50.81 
4/30/2021,$50.91 ,19930550,$51.22 ,$51.23 ,$50.41 
4/29/2021,$51.46 ,13916580,$51.18 ,$51.60 ,$50.98 
4/28/2021,$51.11 ,14984040,$51.56 ,$51.77 ,$50.92 
4/27/2021,$51.37 ,13600990,$51.58 ,$51.67 ,$51.35 
4/26/2021,$51.64 ,13778190,$51.65 ,$51.77 ,$51.50 
4/23/2021,$51.91 ,14017740,$51.50 ,$52.13 ,$51.18 
4/22/2021,$51.50 ,15564760,$51.81 ,$52.09 ,$51.38 
4/21/2021,$51.93 ,14015530,$51.84 ,$52.07 ,$51.48 
4/20/2021,$51.79 ,21257480,$52.59 ,$52.79 ,$51.60 
4/19/2021,$52.85 ,20245610,$52.53 ,$52.96 ,$52.49 
4/16/2021,$52.80 ,28327910,$52.45 ,$53.18 ,$52.26 
4/15/2021,$51.64 ,17869820,$51.76 ,$51.94 ,$51.37 
4/14/2021,$51.37 ,15376590,$51.51 ,$51.68 ,$51.14 
4/13/2021,$51.66 ,13353170,$51.64 ,$51.88 ,$51.34 
4/12/2021,$51.57 ,16441730,$52.07 ,$52.16 ,$51.47 
4/9/2021,$52.09 ,13135750,$51.83 ,$52.15 ,$51.68 
4/8/2021,$51.91 ,15111250,$51.94 ,$52 ,$51.45 
4/7/2021,$51.77 ,15783650,$52.01 ,$52.14 ,$51.58 
4/6/2021,$52.03 ,15126110,$51.98 ,$52.22 ,$51.78 
4/5/2021,$52.41 ,19860910,$51.63 ,$52.92 ,$51.63 
4/1/2021,$51.98 ,17896170,$51.75 ,$52.07 ,$51.35 
3/31/2021,$51.71 ,22212380,$51.83 ,$52.05 ,$51.55 
3/30/2021,$51.77 ,22465100,$52.11 ,$52.29 ,$51.18 
3/29/2021,$52.52 ,25032760,$52.40 ,$52.94 ,$52.28 
3/26/2021,$52.57 ,31996950,$50.60 ,$52.64 ,$50.56 
3/25/2021,$50.51 ,34537720,$50.58 ,$51.40 ,$50.29 
3/24/2021,$49.65 ,26444740,$49.94 ,$50.45 ,$49.62 
3/23/2021,$50.01 ,28328170,$50.02 ,$50.68 ,$49.90 
3/22/2021,$50.30 ,28813880,$48.94 ,$50.38 ,$48.94 
3/19/2021,$48.98 ,65366840,$48.71 ,$49.22 ,$48.32 
3/18/2021,$48.80 ,18417640,$48.52 ,$49.57 ,$48.52 
3/17/2021,$49.42 ,18326920,$49.61 ,$49.61 ,$48.89 
3/16/2021,$49.67 ,17282260,$49.19 ,$49.74 ,$49.19 
3/15/2021,$49.41 ,15526110,$48.90 ,$49.44 ,$48.90 
3/12/2021,$48.82 ,15196530,$48.81 ,$48.99 ,$48.47 
3/11/2021,$48.80 ,21976560,$48.51 ,$49.08 ,$48.23 
3/10/2021,$48.29 ,19841510,$48.47 ,$48.79 ,$48.19 
3/9/2021,$47.89 ,26512660,$47.82 ,$48.37 ,$47.72 
3/8/2021,$47.51 ,34824530,$46.24 ,$48.40 ,$46.20 
3/5/2021,$46.25 ,33197580,$45.45 ,$46.74 ,$45.27 
3/4/2021,$44.56 ,24653500,$45.14 ,$45.47 ,$44.15 
3/3/2021,$45.13 ,16851130,$45.43 ,$45.53 ,$45 
3/2/2021,$45.52 ,14832970,$45.93 ,$46.08 ,$45.42 
3/1/2021,$45.92 ,17396070,$45.22 ,$46.22 ,$45.22 
2/26/2021,$44.87 ,22144950,$45.58 ,$45.78 ,$44.76 
2/25/2021,$45.52 ,21916720,$45.59 ,$46.24 ,$45.24 
2/24/2021,$45.74 ,17823650,$45.24 ,$45.80 ,$45.04 
2/23/2021,$45.51 ,19714930,$45.26 ,$45.78 ,$45.10 
2/22/2021,$45.43 ,21435790,$45.29 ,$45.68 ,$44.82 
2/19/2021,$45.68 ,25117700,$46.54 ,$46.61 ,$45.58 
2/18/2021,$46.34 ,16867520,$46.39 ,$46.40 ,$45.69 
2/17/2021,$46.25 ,13301380,$46.32 ,$46.40 ,$45.87 
2/16/2021,$46.51 ,18539030,$47.26 ,$47.26 ,$46.40 
2/12/2021,$47.29 ,15239820,$47.43 ,$47.69 ,$46.91 
2/11/2021,$47.58 ,18589910,$47.35 ,$47.91 ,$47.20 
2/10/2021,$47.24 ,44540880,$46.15 ,$47.41 ,$45.83 
2/9/2021,$48.50 ,24795020,$48.77 ,$48.83 ,$48.41 
2/8/2021,$48.94 ,25215440,$48.56 ,$49.34 ,$48.56 
2/5/2021,$48.08 ,25488560,$47.57 ,$48.34 ,$47.50 
2/4/2021,$47.25 ,22285660,$45.87 ,$47.32 ,$45.77 
2/3/2021,$45.77 ,13173640,$45.75 ,$46.16 ,$45.54 
2/2/2021,$45.83 ,16520930,$45.52 ,$45.94 ,$45.43 
2/1/2021,$45.40 ,16776850,$44.92 ,$45.63 ,$44.66 
1/29/2021,$44.58 ,22608100,$44.85 ,$45.37 ,$44.48 
1/28/2021,$45.34 ,21166030,$45.91 ,$46.27 ,$45.30 
